"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene322",8.26559076533333,8.57553505266667,8.381975417,8.42583166733333
"Gene323",8.36260057333333,8.57186314966667,8.41369025633333,8.50053019333333
"Gene324",8.256535506,8.10133551433333,8.18306297133333,8.32178945166667
"Gene325",8.33789046066667,8.38586773,8.34120416666667,8.41453947666667
"Gene326",8.34415216566667,8.56707522733333,8.71215685233333,8.27626546666667
"Gene327",8.33371419633333,8.154003047,8.15110951266667,8.21784916
"Gene328",8.204400348,8.52458537233333,8.26274843666667,8.43909776366667
"Gene329",8.32753515133333,8.494648606,8.367047796,8.345328022
"Gene33",4.75353424666667,4.962997822,4.83568005066667,4.762972514
"Gene330",8.25767165833333,8.457030216,8.34195172033333,8.40263114433333
"Gene331",8.33909725833333,8.49490073333333,8.333499193,8.40850982433333
"Gene332",8.22258947233333,8.268588165,8.37290002566667,8.177724949
"Gene333",8.38995968233333,8.58221619333333,8.763963686,8.36469836066667
"Gene334",8.44104179466667,8.48593778066667,8.397240475,8.385779963
"Gene335",8.30028233166667,8.46823230866667,8.23374871633333,8.350246426
"Gene336",8.29433951133333,8.52008889433333,8.34384963833333,8.37934492433333
"Gene337",8.39125348066667,7.818916929,7.81294759266667,8.270605791
"Gene338",8.42076082533333,8.619593465,8.545294125,8.59954293
"Gene339",8.38306436466667,8.01713912766667,8.29264921566667,8.15530033566667
"Gene34",4.91006195333333,5.088583898,4.89567289066667,5.00027618466667
"Gene340",8.475530395,8.38930255533333,8.64413230266667,8.40895721633333
"Gene341",8.42313535,8.47326900833333,8.50154442,8.42713942633333
"Gene342",8.44343896066667,8.655518989,8.47946158333333,8.645373271
"Gene343",8.44885463533333,8.33035681833333,8.48495013833333,8.31679166433333
"Gene344",8.489105642,8.50304091366667,8.605205476,8.43636863566667
"Gene345",8.42436832066667,8.66336001466667,8.53786286533333,8.60705411666667
"Gene346",8.45810993933333,8.22300134166667,8.45710487066667,8.258764345
"Gene347",8.328936435,8.31056812033333,8.15847502,8.54083117366667
"Gene348",8.478072238,8.67311360533333,8.42942772533333,8.52579918366667
"Gene349",8.48536520133333,8.76355074233333,8.50487032733333,8.54833607433333
"Gene35",4.79585811166667,4.856755113,4.669098739,4.739290829
"Gene350",8.36502340266667,9.12307856366667,8.746074477,9.28609039066667
"Gene351",8.413890314,8.71536629933333,8.42556954266667,8.614092221
"Gene352",8.50622341766667,9.41161621133333,8.84828012466667,9.47544878533333
"Gene353",8.45805619066667,8.59491505666667,8.47947823266667,8.54989943033333
"Gene354",8.480087447,8.21069066166667,8.06754998866667,8.44533481466667
"Gene355",8.44202764466667,8.54947738533333,8.45021183133333,8.50163540633333
"Gene356",8.54387048733333,8.52382738033333,8.49734612466667,8.49201292266667
"Gene357",8.643614484,8.83852182733333,8.76030735833333,8.79343811066667
"Gene358",8.49690722133333,8.96166560866667,8.632576471,8.6818206
"Gene359",8.61600601233333,8.00822783666667,7.55893956566667,8.353853577
"Gene36",4.98168368833333,4.99627912166667,5.261643632,5.14921082833333
"Gene360",8.50295547766667,9.37481767733333,8.94906459066667,9.14655658766667
"Gene361",8.640073201,8.86363536166667,8.36268663366667,8.807222204
"Gene362",8.571172854,8.85901935466667,8.67331991366667,8.61108020366667
"Gene363",8.59302903766667,8.52318188633333,8.51832278033333,8.62453960566667
"Gene364",8.580300738,8.36123658733333,8.21357426333333,8.446673425
"Gene365",8.54834803166667,8.830233263,8.874062327,8.63524227466667
"Gene366",8.59248031633333,8.14607010466667,8.33729297333333,8.22666991466667
"Gene367",8.423720316,8.556377249,8.410766332,8.51798141266667
"Gene368",8.58519994266667,8.71922150633333,8.58638827733333,8.65180481233333
"Gene369",8.71008905933333,8.85074103166667,8.73530875933333,8.800833464
"Gene37",5.06096534,5.157818629,4.90888360933333,5.12349532066667
"Gene370",8.637634394,8.70324566466667,8.65589832966667,8.62531740933333
"Gene371",8.63686394866667,8.942196048,8.400673256,8.79428546566667
"Gene372",8.60274275933333,8.833996721,8.676189163,8.680309517
"Gene373",8.684322103,8.950989911,8.81278910866667,8.76830652033333
"Gene374",8.63089836033333,8.908750492,8.637902622,8.66808963566667
"Gene375",8.66742097433333,8.74008622833333,8.71515280333333,8.68017288233333
"Gene376",8.74388859466667,9.380766807,9.20561819633333,9.16142762666667
"Gene377",8.69642255633333,8.587727557,8.289509,8.55373659433333
"Gene378",8.65145253,8.73723643633333,8.58506776266667,8.78416024666667
"Gene379",8.64510303766667,8.793082822,8.16929381333333,9.07837127533333
"Gene38",5.08509300966667,5.24636498933333,5.000288595,4.99566674266667
"Gene380",8.63887459266667,8.32977876933333,7.850112172,8.63292246333333
"Gene381",8.573606286,8.478960549,8.57307002833333,8.39924293233333
"Gene382",8.70691968666667,8.666150676,8.537752273,8.773724143
"Gene383",8.77438890166667,9.10677371333333,8.83279995466667,8.72345749666667
"Gene384",8.64590265933333,8.27315640233333,8.280023806,8.559535869
"Gene385",8.73571709433333,8.72722024566667,8.49970475533333,8.776738652
"Gene386",8.71613996633333,8.835708117,8.95094044,8.77538784933333
"Gene387",8.72886965133333,8.922115049,8.814139203,8.85256388466667
"Gene388",8.86053942533333,9.31769777533333,9.03095968366667,8.96619799066667
"Gene389",8.75990352766667,8.53011489533333,8.789738353,8.79374425866667
"Gene39",4.93864797566667,4.885450388,4.92496095166667,4.91907866166667
"Gene390",8.692548531,9.44874544266667,9.03445676333333,9.54336790266667
"Gene391",8.879953428,9.501113464,8.42475842033333,9.448373395
"Gene392",8.714939305,8.73728976833333,8.66888097133333,8.824649519
"Gene393",8.73618525233333,8.834521023,8.878992232,8.82397124433333
"Gene394",8.75009281766667,8.53424742933333,8.602365953,8.53496786433333
"Gene395",8.72921627633333,9.221239809,9.02827676866667,9.170478239
"Gene396",8.749747738,8.97375394266667,8.82494039866667,8.894558502
"Gene397",8.756493157,8.837323598,8.68468434833333,8.810229864
"Gene398",8.79664397666667,8.71415209266667,8.57558252633333,8.72384857033333
"Gene399",8.75845161,9.155702961,8.99008462733333,8.95672319866667
"Gene4",3.762054281,3.79141869133333,3.67814745833333,3.76115893833333
"Gene40",5.11383410933333,5.26420655566667,5.15955248566667,5.385003392
"Gene400",8.778026133,8.51448507566667,8.55347445066667,8.576328148
"Gene401",8.849376647,8.805020956,8.87244496966667,8.91542942566667
"Gene402",8.83448855866667,8.93024001333333,8.933235945,8.91930974933333
"Gene403",8.76156015733333,9.087743952,8.74192109566667,9.11507144366667
"Gene404",8.844413509,8.86616556766667,8.85408043766667,8.85081292866667
"Gene405",8.90663088433333,9.058867605,8.48321916266667,9.181158581
"Gene406",8.78872840133333,8.78266396666667,8.80318748733333,8.72334901566667
"Gene407",8.88321851033333,8.941145179,8.91152545866667,8.921583148
"Gene408",8.62578060866667,8.503926449,8.86241548366667,8.66298012366667
"Gene409",8.77525601133333,8.69691721833333,8.86987882066667,8.68917707166667
"Gene41",4.973661444,5.28568932266667,5.27867236066667,5.08415808533333
"Gene410",8.843461235,9.29128235933333,9.17408092433333,9.25231869133333
"Gene411",8.83756132,9.12156053566667,8.86033696966667,9.13074833566667
"Gene412",8.78989776433333,9.22437036333333,8.91285102166667,9.249364466
"Gene413",8.72686761733333,8.17962596766667,8.40758790566667,8.465757457
"Gene414",8.80957263133333,8.69357482133333,8.761680695,8.84457702933333
"Gene415",8.868013994,8.69687304533333,8.770506717,8.79802562
"Gene416",8.80853513366667,8.82764334466667,8.41183116433333,8.926000741
"Gene417",8.848156879,9.09571025766667,9.04006822833333,9.058182255
"Gene418",8.93101141233333,8.78720177166667,8.79806531233333,8.838963828
"Gene419",8.84678046,8.96469754666667,8.89730823833333,8.95479274633333
"Gene42",5.105427668,5.21342369433333,5.003015789,5.10538202
"Gene420",9.002016162,9.57996825633333,8.59413323933333,9.53680522433333
"Gene421",8.85779398433333,9.03028538633333,8.910287044,9.16558965266667
"Gene422",8.871739886,9.016158686,8.92866630033333,8.85333253833333
"Gene423",8.928742168,8.84473229866667,8.72565522033333,8.85988491433333
"Gene424",8.99220204733333,9.00073524533333,8.87515379966667,9.02152901866667
"Gene425",8.88692793333333,8.934552006,8.98925251933333,8.92007821
"Gene426",8.941175172,8.79156649766667,8.839913024,8.97897407366667
"Gene427",8.99486763866667,9.162420459,9.134154474,9.25033922233333
"Gene428",8.93145717166667,9.151874932,8.99644981066667,9.05425161733333
"Gene429",8.91035698133333,8.811072307,8.878735061,9.03120052666667
"Gene43",5.04854892933333,5.07478254233333,4.96952756933333,4.984991841
"Gene430",8.93796445266667,9.03442751966667,8.983310796,8.96597804366667
"Gene431",8.922134632,8.81454297566667,9.11617096266667,8.76012143833333
"Gene432",8.86373373733333,8.99622748966667,8.89830578166667,8.91708105166667
"Gene433",9.044843839,9.12074949966667,8.98790830633333,9.119663591
"Gene434",8.96333043066667,9.19916524966667,8.67376445933333,9.307679863
"Gene435",8.935431503,8.43910595666667,8.55618584133333,8.90655975066667
"Gene436",9.08499918366667,8.39450647833333,8.13850822066667,8.67110934233333
"Gene437",8.98562307066667,9.14259711666667,9.027076851,9.13396316466667
"Gene438",8.96793902433333,9.061291197,9.042072256,8.94741536366667
"Gene439",8.938637515,7.99611909833333,8.43129552866667,8.242623292
"Gene44",5.088521975,5.02034956566667,5.215114452,4.969452394
"Gene440",9.05219977033333,9.35225380733333,9.159210644,9.160760443
"Gene441",9.09252536,9.21778754366667,9.14673320666667,9.243627848
"Gene442",9.084153431,8.45737361766667,8.705391808,8.558231728
"Gene443",9.00592468466667,8.63539539366667,8.395377113,8.84614866966667
"Gene444",9.09808975066667,9.02255466766667,9.14037520633333,8.95262425066667
"Gene445",9.075113968,9.04291679533333,8.947386107,9.13000275266667
"Gene446",9.060399186,8.60317953833333,8.703498249,8.69867448633333
"Gene447",8.91365638366667,8.20525028633333,8.71583347,8.69574278
"Gene448",9.05543644566667,9.40033915633333,9.18111086933333,9.247082884
"Gene449",9.03572642233333,8.83671008066667,9.025681493,8.80979961933333
"Gene45",5.12925009966667,5.29797531666667,5.266537802,5.11584032333333
"Gene450",9.051051259,8.78399575066667,8.938893609,8.944148138
"Gene451",9.12176975566667,8.73043643833333,8.806023123,8.87877802766667
"Gene452",9.08137092766667,9.20346414566667,9.15966651366667,9.27931350266667
"Gene453",9.05339394266667,9.277832698,9.14232337033333,9.19764955266667
"Gene454",9.15914158133333,9.24087355066667,9.126386751,9.188013555
"Gene455",9.03965613233333,9.07205209133333,9.30720640333333,8.868622119
"Gene456",9.175737595,9.25472148933333,9.30848448033333,9.22324767
"Gene457",9.134178169,9.350751057,9.20097778166667,9.360631922
"Gene458",9.12854049133333,9.21473445866667,9.14261206766667,9.179818954
"Gene459",9.096670496,8.578462161,8.70333756066667,8.758818944
"Gene46",5.158815382,5.26467347666667,5.24326817133333,5.225438251
"Gene460",9.21682140333333,9.271682242,9.29631687066667,9.21426188266667
"Gene461",9.112201725,9.23554517733333,9.090718563,9.11285848066667
"Gene462",9.18630790233333,9.27816475666667,9.12888089666667,9.25741312833333
"Gene463",9.13709987933333,9.416553722,9.232082807,9.23322504533333
"Gene464",9.10102108766667,9.294954648,9.179361436,9.200424702
"Gene465",9.201894839,9.588554546,9.33619545733333,9.456095656
"Gene466",9.272603612,9.65357889433333,9.53356195566667,9.575538652
"Gene467",9.10933069433333,9.378366899,9.26478716866667,9.46995932166667
"Gene468",9.257932429,9.46293563833333,9.30520489266667,9.34643758066667
"Gene469",9.19289903966667,9.29779269466667,9.229958075,9.30522717
"Gene47",5.218641133,5.43195073733333,5.17619777,5.293611237
"Gene470",9.158167997,9.39213726533333,9.28657341,9.30642618166667
"Gene471",9.223945448,9.172290746,9.205069117,9.16012504233333
"Gene472",9.22636627133333,9.30536656566667,9.25147188466667,9.267818765
"Gene473",9.31609723633333,9.81268676133333,9.50881473466667,9.68571191933333
"Gene474",9.303560843,9.34657847833333,9.242205052,9.55687110333333
"Gene475",9.254930133,9.29892857333333,9.27146522666667,9.210012408
"Gene476",9.236828263,9.36485352033333,9.23269377166667,9.326921223
"Gene477",9.26388031833333,9.487292962,9.33601919133333,9.36578567066667
"Gene478",9.27316341166667,8.930110864,9.15935557866667,9.06578936866667
"Gene479",9.29756423166667,9.24251402633333,9.311315278,9.43500602
"Gene48",5.22335985733333,5.38424482266667,5.200632123,5.138286988
"Gene480",9.260073996,9.364938218,9.05946330633333,9.660288275
"Gene481",9.31939647533333,8.49139605433333,8.57834759333333,8.68854560933333
"Gene482",9.24401763366667,8.981557542,9.25890159566667,9.04152452433333
"Gene483",9.31303743333333,9.46104408133333,9.39052154833333,9.322270546
"Gene484",9.29426074233333,9.48123945633333,9.316487429,9.46976564466667
"Gene485",9.34357681066667,8.80979027,8.611396907,9.21728138366667
"Gene486",9.382950274,8.86685898766667,9.22809933533333,9.06482569
"Gene487",9.34059529866667,9.806863843,10.100726521,9.26287076266667
"Gene488",9.37359793033333,9.17961238766667,9.22585121566667,9.42856199266667
"Gene489",9.31625129633333,8.79454972766667,8.99015853466667,9.23094867166667
"Gene49",5.197479334,5.353566717,5.155766853,5.201781887
"Gene490",9.256916107,8.816113594,8.57603962633333,8.97318405066667
"Gene491",9.305858553,8.681200864,8.86621874666667,8.93423314733333
"Gene492",9.34826793933333,9.11792924466667,9.30074055633333,9.04953219666667
"Gene493",9.26056601933333,9.141202324,9.56213337833333,9.39265227166667
"Gene494",9.30906086466667,9.42259300066667,9.38136374833333,9.372187354
"Gene495",9.293579615,9.192741143,9.298417119,9.30115177466667
"Gene496",9.353234594,9.38090661533333,9.35535447566667,9.36036906966667
"Gene497",9.36894172233333,9.543785134,8.40291226633333,9.78157718833333
"Gene498",9.30270814566667,9.46076890133333,9.28418576766667,9.367741658
"Gene499",9.297748041,8.92077424733333,8.99785173366667,9.154891697
"Gene5",3.732808445,3.752311347,3.72884351433333,3.73273734933333
"Gene50",5.224781292,5.36463175333333,5.26492467133333,5.269017644
"Gene500",9.316935575,8.802556431,9.030516359,9.34687898666667
"Gene51",5.345713076,5.31303967133333,5.17669321533333,5.19791042066667
"Gene52",5.37948283766667,5.54854873033333,5.16889213333333,5.415345529
"Gene53",5.317758828,5.475790563,5.40437312,5.34910284433333
"Gene54",5.17943171266667,5.241000361,5.339829756,5.123159869
"Gene55",5.23321859133333,5.36347055833333,5.20329494233333,5.27647923266667
"Gene56",5.37709708,5.46496276733333,5.46408440533333,5.33040332733333
"Gene57",5.24953357333333,5.50182181566667,5.21640374566667,5.78544963566667
"Gene58",5.29065618066667,5.43437996666667,5.082298019,5.31720346633333
"Gene59",5.343772065,5.57512208266667,5.361327055,5.66535815133333
"Gene6",3.85930417266667,3.89517954433333,3.89304809966667,3.885633242
"Gene60",5.30212687333333,5.96534380733333,5.50244483666667,5.72403337866667
"Gene61",5.4490307,5.53435192666667,5.30485577633333,5.442235936
"Gene62",5.34342413033333,5.26517269666667,5.36406794466667,5.31868080166667
"Gene63",5.44772685333333,5.53994970733333,5.299243789,5.29770721133333
"Gene64",5.44083510133333,5.408333348,5.45983744066667,5.46610917133333
"Gene65",5.50677681533333,6.72883208966667,6.12953997633333,6.57191585933333
"Gene66",5.41312649666667,5.53903588,5.428074647,5.43888187633333
"Gene67",5.56029745466667,5.86193579333333,5.60506541833333,5.593351934
"Gene68",5.46297843066667,5.28131771,5.32732104566667,5.31730188166667
"Gene69",5.595915943,5.677873454,5.40901909666667,5.37070362766667
"Gene7",4.020487467,4.00019466366667,4.01360466866667,3.986052962
"Gene70",5.644677443,5.95853142666667,5.580197245,5.87020203466667
"Gene71",5.531124515,5.68283463966667,5.56469898,5.639187257
"Gene72",5.57021216833333,5.758705214,5.38222943433333,5.59981489833333
"Gene73",5.525679227,5.82296120033333,5.62710528,5.60807793633333
"Gene74",5.59388501833333,5.81561658633333,5.552814078,5.73736218
"Gene75",5.53401275133333,5.54219614866667,5.65621290833333,5.592237433
"Gene76",5.71474586466667,6.37411984433333,6.01298143233333,5.944073911
"Gene77",5.636022815,5.725378067,5.67070404233333,5.588516516
"Gene78",5.56529046033333,5.675077594,5.96020965066667,5.568391497
"Gene79",5.78044746933333,5.616010961,5.76048323766667,5.678379219
"Gene8",4.07464265933333,4.09669070933333,4.02169950066667,4.03487639466667
"Gene80",5.89647188966667,6.43397223766667,6.73135808666667,5.85027130466667
"Gene81",5.81891278366667,6.02650894366667,5.88553541466667,5.853824352
"Gene82",5.844272889,5.85670913766667,5.79935491333333,5.68317012866667
"Gene83",5.88650490033333,6.0246106,5.651368692,5.90017050566667
"Gene84",5.85203372366667,6.118030307,5.848237011,5.91453469966667
"Gene85",5.64767676066667,6.91122835,6.021337089,6.97592364066667
"Gene86",5.73258505566667,5.81924756866667,5.69945801866667,5.64729259166667
"Gene87",5.82726118166667,5.97907978266667,5.902217465,5.77114632533333
"Gene88",5.80228267666667,5.676643348,5.76708306966667,5.76295887766667
"Gene89",5.856411679,5.97150855133333,5.908596412,5.95992965233333
"Gene9",4.10472468333333,4.22038019366667,4.12296780766667,4.315358808
"Gene90",5.83098351233333,5.92886923233333,5.785438919,6.15883456833333
"Gene91",5.83993678566667,5.72758737366667,5.53565245566667,5.92293844566667
"Gene92",5.912635609,6.026972236,5.88653824633333,5.955558698
"Gene93",6.10615629233333,6.062607897,5.982684874,5.992622047
"Gene94",5.91425267866667,5.50570085233333,5.71674622133333,5.677665965
"Gene95",5.938150104,6.03847064033333,5.750596597,5.75247716233333
"Gene96",6.04407647666667,6.093362038,6.03644078833333,6.08353467266667
"Gene97",6.03664934466667,6.20155666333333,6.10455352866667,6.128860971
"Gene98",5.98586448433333,6.29303869366667,5.80888203666667,6.15528817833333
"Gene99",6.208653035,6.33166809266667,6.13074154166667,6.12964812133333
